ProductID,ProductBrand,ProductName,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
5eb9d34a8c98cc00031fd886,,Push-Button Battery Generic,The New Amsterdam,0,Concentrate,concentrates-oil,N/A,10,25
5f3aa82dce5cde0003960683,Tokyo Starfish ,$12 - Calyx - Tokyo Indica Space Fuel (Shatter),Tokyo Starfish (South) (Bend),0,Concentrate,shatter,1g,10,24
5fac6e3494b5f10003dcf9a7,Hush,Hush I Viper (S) 1g LR,Top Hat Express,1,Concentrate,live-resin,1g,10,8
5fad9a6e183b5c0003975bc1,DBR,DBR - GG#4 - Extract,Mr. Nice Guy (Portland - SE Woodstock),0,Concentrate,,1g,10,25
5fd2b74027706c00c8c82413,White Label Extracts,Runtz x Sunset Honeycomb | 1g,Electric Lettuce - Alberta Arts District,1,Concentrate,sugar,1g,10,9996
5ff524f3fdebe00003aadc62,,Altered Alchemy - Afpak - Extract,La Mota (SE Portland),0,Concentrate,,1g,10,1
5ffd168087b75500034388c0,HER,HER - Cookies N Cream - Cartridge,La Mota (SE Portland),0,Concentrate,,1g,10,7
60007329575f4c00cf15c3c3,White Label Extracts,Breakfast Margy Honeycomb | 1g,Serra (Belmont St - Portland),1,Concentrate,crumble,1gC,10,12
60073c1affd3160003cff26f,Fire Dept.,Gelato Haze Dry-Ice Extracted Kief | 1g,Oregrown (Bend),0,Concentrate,kief,1g,10,9
6012fc1eaccfa200e2c7ef70,White Label Extracts,Wedding Cake Sugar Sauce | 1g,Serra (Belmont St - Portland),1,Concentrate,sauce,1gC,10,7
6012fd1c8bbba800adff2348,White Label Extracts,Platinum Dosi x Platinum Punch Honeycomb | 1g,Serra (Belmont St - Portland),1,Concentrate,crumble,1gC,10,11
603e6f2e73f5820003a3942a,Sitka NW,Sitka NW Extracts - Shatter - Mimosa X Rainmaker,Urban Farmacy,1,Concentrate,shatter,1g,10,10
603e6f2e73f5820003a3942b,Sitka NW,Sitka NW Extracts - Shatter - Couch Potato,Urban Farmacy,1,Concentrate,shatter,1g,10,10
604be63a028f1400cff6c0f1,White Label Extracts,Peach OG Honeycomb | 1g,Serra (Belmont St - Portland),1,Concentrate,crumble,1gC,10,11
6067785754393900012678d0,White Label Extracts,White Label Extracts | MAC Honeycomb | 1g,Electric Lettuce - Old Town,0,Concentrate,crumble,1g,10,25
606f8cd300587a000136148c,Potion Dabs,Monkey Walker (Terp Sugar),Attis Trading Co (Gladstone),0,Concentrate,sugar,1g,10,9
6073704fd8540f00d15a9a53,White Label Extracts,Starduster Honeycomb | 1g,Electric Lettuce - Alberta Arts District,1,Concentrate,sugar,1gC,10,9988
6073711128f65b00da113a74,White Label Extracts,Snowball x Ice Cream Man Sugar Sauce | 1g,Electric Lettuce - Alberta Arts District,1,Concentrate,sauce,1gC,10,9990
60737260f72dea00bcc0f529,White Label Extracts,Cake Mix x Oc3an Beach Honeycomb | 1g,Electric Lettuce - Alberta Arts District,1,Concentrate,sugar,1g,10,99995
607373ca36a49700bcf745ed,White Label Extracts,Breakfast Margy Honeycomb | 1g,Electric Lettuce - Alberta Arts District,1,Concentrate,crumble,1g,10,99985
60737481d02b7e00d71795b3,White Label Extracts,Tropic Heat Honeycomb | 1g,Electric Lettuce - Alberta Arts District,1,Concentrate,crumble,1g,10,9994
6075de0a64a9280001a6236a,Original Extracts,Original Extracts - PROJECT X - Shatter - - I,Left Coast Connection,0,Concentrate,shatter,1g,10,9
6075f314611ec40001a9a82d,Original Extracts,Original Extracts - PROJECT X - Shatter - - I,Chalice Farms (Downtown),0,Concentrate,shatter,1g,10,5
6075fef4c7886300010d0f49,Original Extracts,Original Extracts - PROJECT X - Shatter - - I,Chalice Farms (Powell),1,Concentrate,shatter,1g,10,3
6075fef4c7886300010d0f4c,Original Extracts,Original Extracts - LEMONGRASS - Shatter - - S,Chalice Farms (Powell),1,Concentrate,shatter,1g,10,1
6079c8fd6535d900017e47b9,White Label Extracts,White Label Extracts | Breakfast Margy Honeycomb | 1g,Electric Lettuce - Old Town,0,Concentrate,crumble,1g,10,18
607a20df594fcc00018a212f,La Mota,La Mota - Kosher Kush - Extract,La Mota (NW Front),0,Concentrate,sugar,1g,10,2
607a2f52c2fef80001b17fc0,La Mota,La Mota - Sour Diesel - Extract,La Mota (NW Front),0,Concentrate,sugar,1g,10,25
607b3836371677000158addb,La Mota,La Mota - Cherry Cookies - Extract,La Mota (NW Front),0,Concentrate,sugar,1g,10,1
607e017ecd07700001e0ad65,White Label Extracts,Petrol Rainbows Sugar Sauce | 1g,Electric Lettuce - Weilder,0,Concentrate,sauce,1g,10,6
607e098ed1cda100016cb58c,White Label Extracts,White Label Extracts Breakfast Margy Honeycomb,Electric Lettuce - Foster - Powell,0,Concentrate,,1g,10,5
607e0e43b54d7a00011527b6,White Label Extracts,White Label Extracts Wedding Cake Sugar Sauce,Electric Lettuce - Foster - Powell,0,Concentrate,sauce,1g,10,13
607e2062c2369300012cc934,White Label Extracts,White Label Extracts Breakfast Margy Honeycomb,Electric Lettuce - Sellwood,0,Concentrate,crumble,1g,10,14
607e390b363ca20001689645,White Label Extracts,White Label Extracts Wedding Cake Sugar Sauce,Electric Lettuce - Sellwood,0,Concentrate,sauce,1g,10,25
607f06f6ed90c60001b5cc3f,Sitka,Sitka Cherry Gelato BHO,Electric Lettuce - Sellwood,0,Concentrate,shatter,1g,10,13
607f0f49a6c9e90001228ac0,Flapjax Extracts,Extract - Flapjax - Frost Boss (Live Resin),VIBE - Amberlight,0,Concentrate,live-resin,1g,10,3
607f0f49a6c9e90001228ac2,Flapjax Extracts,Extract - Flapjax - MAC (Live Resin),VIBE - Amberlight,0,Concentrate,live-resin,1g,10,3
607f0f49a6c9e90001228ac3,Flapjax Extracts,Extract - Flapjax - The Mezz (Cured Resin),VIBE - Amberlight,0,Concentrate,,1g,10,4
607f0f49a6c9e90001228ac6,Flapjax Extracts,Extract - Flapjax - Quantum Kush (Live Resin),VIBE - Amberlight,0,Concentrate,live-resin,1g,10,7
