ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Nugget Candy Co.,Nugget Candy I Strawberry Banana - Kief Rosin,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,14.17,1
Willamette Valley Alchemy,Willamette Valley Alchemy - Live Rosin - Triangle Kush Mints,N/A,0,N/A,0,Urban Farmacy,1,Concentrate,rosin,.5g,20,1
45TH LATITUDE,45th Latitude | Cake Crasher 45/159u Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,20.83,25
45TH LATITUDE,45th Latitude | Guicy Banger Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,20.83,25
45TH LATITUDE,45th Latitude | Xena Full Spectrum Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,20.83,25
PDX Dabs,PDX Dabs Gelato Rosin Temple Ball,PERCENTAGE,58.45,PERCENTAGE,0.18,Electric Lettuce - Foster - Powell,0,Concentrate,rosin,1g,22,24
Nugget Candy Co.,Cascade Skunk Ape - Ice Rosin - Nugget Candy,PERCENTAGE,59.2,PERCENTAGE,0,Broadway Cannabis Market,0,Concentrate,rosin,1g,23.12,12
Nugget Candy Co.,Sour Banana Split - Ice Rosin - Nugget Candy,PERCENTAGE,61.65,PERCENTAGE,0,Broadway Cannabis Market,0,Concentrate,rosin,1g,23.12,5
,Verdant Leaf - Animal Cookies Rosin Cart,PERCENTAGE,67.7,N/A,0,Papa Buds,0,Concentrate,rosin,.5g,25,7
,Verdant Leaf - Papaya Cake Rosin Cart,PERCENTAGE,65.5,N/A,0,Papa Buds,0,Concentrate,rosin,.5g,25,7
,Verdant Leaf - Tallyman Rosin Cart,PERCENTAGE,72.6,N/A,0,Papa Buds,0,Concentrate,rosin,.5g,25,5
,Korova:Rude boi x White Tahoe Cookies Hash Rosin,N/A,0,N/A,0,Cannabliss Co (The Blvd),0,Concentrate,hash,1g,30,20
45TH LATITUDE,[$30] 45th Latitude - Cake Crasher Rosin,PERCENTAGE,76,N/A,0,Deanz Greenz (Sandy),0,Concentrate,rosin,1g,30,2
45TH LATITUDE,[$30] 45th Latitude - Guicy Banger Rosin,PERCENTAGE,70.4,N/A,0,Deanz Greenz (Sandy),0,Concentrate,rosin,1g,30,2
Decibel Farms,Banana Punch Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,30,23
Decibel Farms,Rotten Banana Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,30,11
Korova,Korova | Rude Boi x White Tahoe Cookies (Rosin),PERCENTAGE,64.5,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,30,10
Korova,Korova | Rude Boi x White Tahoe Cookies Hash Rosin | 1g,PERCENTAGE,64.52,PERCENTAGE,0,Cannabliss (Firestation 23),0,Concentrate,hash,1g,30,18
Korova,Korova | Rude Boi x White Tahoe Cookies | 1g Hash Rosin,PERCENTAGE,64.5,PERCENTAGE,0,Cannabliss & Co (22nd & Burn),0,Concentrate,hash,1g,30,11
Korova,Korova | Triangle Larry x Motor Breath (Rosin),PERCENTAGE,70.2,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,30,16
Korova,Korova | Triangle Larry x Motor Breath | 1g Hash Rosin,PERCENTAGE,70.29,PERCENTAGE,0,Cannabliss & Co (22nd & Burn),0,Concentrate,hash,1g,30,16
Permaculture Solutions,Bad Betty 90u Hash Rosin - Permaculture Solutions,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,30,2
Permaculture Solutions,Epidemic Hash Rosin Batter - Permaculture Solutions,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,30,3
Permaculture Solutions,Permaculture Solutions-Hash  Rosin-Jungle Cake,PERCENTAGE,71.98,PERCENTAGE,0.27,Urban Farmacy,1,Concentrate,rosin,1g,30,6
Resin Ranchers,Resin Ranchers | Cookies n Cream Hash Rosin | 1g,PERCENTAGE,71.11,PERCENTAGE,0,Cannabliss (Firestation 23),0,Concentrate,rosin,1g,30,3
,Decibel GMO Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,1
,Decibel Key Lime Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,33,7
,HC Banana Bliss Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,HC Bananacot Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,HC Citrus Funk Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,1
,HC Dogwalker Tangie Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,HC Flash Gadot Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,HC Laser Sword Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,1
,HC Wilson! Zero Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
Decibel,Decibel Extracts | Key Lime Pie Live Rosin,PERCENTAGE,1000,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Decibel,Decibel Extracts | Moose Tracks Live Rosin,PERCENTAGE,65.53,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Decibel,Decibel Extracts | Papaya Punch Rosin,PERCENTAGE,70.85,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Decibel,Decibel Extracts | Rotten Bananas Rosin,PERCENTAGE,0,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Decibel,Decibel Extracts | Triple Chocolate Chip Live Rosin,PERCENTAGE,61.7,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
