ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Karma Originals,Karma Originals - Stardawg - Rosin Infused Preroll Sativa,PERCENTAGE,305.2,N/A,0,Nectar - Sandy,0,Concentrate,rosin,1.57g,15.5,4
Karma Originals,Karma Originals - Stardawg - Rosin Infused Preroll Sativa,PERCENTAGE,305.2,N/A,0,Nectar - Terwilliger,0,Concentrate,rosin,1.57g,15.5,7
Avalon,Avalon | Fruit Medley Hash Rosin | 1g,PERCENTAGE,67.95,PERCENTAGE,0.6,Diem Delivery,1,Concentrate,rosin,1g,17,14
45TH LATITUDE,45th Latitude | Cake Crasher 45/159u Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,20.83,12
45TH LATITUDE,45th Latitude | Guicy Banger Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,20.83,25
45TH LATITUDE,45th Latitude | Xena Full Spectrum Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,20.83,25
OM Extracts,Panama Red 3:1 - RSO - OM Extracts,PERCENTAGE,14.02,PERCENTAGE,41.29,Arcanna,0,Concentrate,rosin,1g,21.67,8
PDX Dabs,PDX Dabs Gelato Rosin Temple Ball,PERCENTAGE,58.45,PERCENTAGE,0.18,Electric Lettuce - Foster - Powell,0,Concentrate,rosin,1g,22,22
Nugget Candy Co.,Cascade Skunk Ape - Ice Rosin - Nugget Candy,PERCENTAGE,59.2,PERCENTAGE,0,Broadway Cannabis Market,0,Concentrate,rosin,1g,23.12,9
Nugget Candy Co.,Sour Banana Split - Ice Rosin - Nugget Candy,PERCENTAGE,61.65,PERCENTAGE,0,Broadway Cannabis Market,0,Concentrate,rosin,1g,23.12,3
,Korova:La Kush Cake Hash Rosin,N/A,0,N/A,0,Cannabliss & Co (22nd & Burn),0,Concentrate,hash,1g,25,7
,Verdant Leaf - Animal Cookies Rosin Cart,PERCENTAGE,67.7,N/A,0,Papa Buds,0,Concentrate,rosin,.5g,25,6
,Verdant Leaf - Papaya Cake Rosin Cart,PERCENTAGE,65.5,N/A,0,Papa Buds,0,Concentrate,rosin,.5g,25,7
,Verdant Leaf - Tallyman Rosin Cart,PERCENTAGE,72.6,N/A,0,Papa Buds,0,Concentrate,rosin,.5g,25,2
Decibel Farms,Banana Punch Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,25.5,9
Decibel Farms,DECIBEL l Ultra Violence (IH) LRo,PERCENTAGE,68.21,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,25.5,21
Decibel Farms,DECIBEL l White Rhino (H) LRo,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,25.5,8
Decibel Farms,Decibel I Key Lime Pie (H) LRo,PERCENTAGE,63.97,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,25.5,23
Decibel Farms,Rotten Banana Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,25.5,9
Korova,Korova | Rude Boi x White Tahoe Cookies (Rosin),PERCENTAGE,64.5,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,27,5
Korova,Korova | Triangle Larry x Motor Breath (Rosin),PERCENTAGE,70.2,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,27,14
Korova,Korova | Rude Boi x White Tahoe Cookies Hash Rosin | 1g,PERCENTAGE,64.52,PERCENTAGE,0,Cannabliss (Firestation 23),0,Concentrate,hash,1g,30,15
Korova,Korova | Rude Boi x White Tahoe Cookies | 1g Hash Rosin,PERCENTAGE,64.5,PERCENTAGE,0,Cannabliss & Co (22nd & Burn),0,Concentrate,hash,1g,30,6
Korova,Korova | Triangle Larry x Motor Breath Hash Rosin | 1g,PERCENTAGE,70.29,PERCENTAGE,0,Cannabliss (Firestation 23),0,Concentrate,hash,1g,30,16
Korova,Korova | Triangle Larry x Motor Breath | 1g Hash Rosin,PERCENTAGE,70.29,PERCENTAGE,0,Cannabliss & Co (22nd & Burn),0,Concentrate,hash,1g,30,11
Korova,Korova:GG#4 x MotorBreath Hash Rosin,N/A,0,N/A,0,Cannabliss & Co (22nd & Burn),0,Concentrate,hash,1g,30,17
Korova,Korova:Rude boi x White Tahoe Cookies Hash Rosin,PERCENTAGE,64.52,PERCENTAGE,0,Cannabliss Co (The Blvd),0,Concentrate,hash,1g,30,15
Permaculture Solutions,Permaculture Solutions-Hash  Rosin-Jungle Cake,PERCENTAGE,71.98,PERCENTAGE,0.27,Urban Farmacy,1,Concentrate,rosin,1g,30,4
Cloud Cover,CC I Cherry Punch (SH) 1g Rosin,N/A,0,N/A,0,Top Hat Express,1,Concentrate,rosin,1g,32.5,9
Cloud Cover,CC I Jungle Cake (H) 1g Rosin,N/A,0,N/A,0,Top Hat Express,1,Concentrate,rosin,1g,32.5,10
Cloud Cover,CC I Mandarin Sunset (IH) 1g Rosin,N/A,0,N/A,0,Top Hat Express,1,Concentrate,rosin,1g,32.5,10
,Decibel Banana Punch Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,1
,Decibel Bonkers Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,Decibel Key Lime Pie Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,Decibel Strawberry Banana Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,Decibel Triple Chocolate Chip Full Spectrum Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,33,2
,HC Bananacot Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
,HC Citrus Funk Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,1
,HC Flash Gadot Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,1
,HC Wilson! Zero Rosin Cart,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,.5g,33,2
Decibel Farms,Rotten Banana Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Truly Pure,1,Concentrate,rosin,1g,33,2
Decibel,Decibel Extracts | Key Lime Pie Live Rosin,PERCENTAGE,1000,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Decibel,Decibel Extracts | Moose Tracks Live Rosin,PERCENTAGE,65.53,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,23
Decibel,Decibel Extracts | Rotten Bananas Rosin,PERCENTAGE,0,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,22
Decibel,Decibel Extracts | Triple Chocolate Chip Live Rosin,PERCENTAGE,61.7,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Decibel Farms,Choco Bonkers Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,33.33,25
Highland Provisions,Highland Provisions | Chem Z Rosin Cartridge,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,.5g,33.33,1
Highland Provisions,Highland Provisions | Cowboy Kush Rosin Cartridge,PERCENTAGE,1000,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,.5g,33.33,9
Permaculture Solutions,Permaculture Solutions | Animal Mints Hash Rosin,PERCENTAGE,77.32,PERCENTAGE,0.23,TJs on Powell,0,Concentrate,rosin,1g,33.33,7
Permaculture Solutions,Permaculture Solutions | Hulk Juice Hash Rosin,PERCENTAGE,76.82,PERCENTAGE,0.2,TJs on Powell,0,Concentrate,rosin,1g,33.33,13
Permaculture Solutions,The Vision 90u,PERCENTAGE,69.31,PERCENTAGE,0.32,Urban Farmacy,1,Concentrate,rosin,1g,33.33,5
"Resin Ranchers, Inc.",Cherry AK WPFF Rosin,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,34,25
"Resin Ranchers, Inc.",Manzana #117 WPFF Rosin,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,34,19
"Resin Ranchers, Inc.",Resin Racnhers Garden Blend Rosin,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,34,25
"Resin Ranchers, Inc.",Runtz Rosin,PERCENTAGE,67.59,PERCENTAGE,0,Archive,0,Concentrate,rosin,1g,34,25
"Resin Ranchers, Inc.",Triangle Kush WPFF Rosin,PERCENTAGE,68.18,PERCENTAGE,0,Archive,0,Concentrate,rosin,1g,34,25
"Resin Ranchers, Inc.",Yerbert WPFF Rosin,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,34,11
Willamette Valley Alchemy,Larry Burger Cured Rosin,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,34,8
Sun Kissed Solventless,Sun Kissed Solventless | Dosido by Blue Star Farms,PERCENTAGE,63.51,PERCENTAGE,0.23,TJs on Powell,0,Concentrate,rosin,1g,35,2
Verdant Leaf,Verdant Leaf | GMO Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,35,25
Verdant Leaf,Verdant Leaf | Sour Punch Rosin,PERCENTAGE,68.46,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,35,17
Verdant Leaf,Verdant Leaf | Tally Man Rosin,PERCENTAGE,69.68,PERCENTAGE,0,TJs on Powell,0,Concentrate,rosin,1g,35,2
Decibel Farms,Decibel | Sour Diesel (Live Rosin),PERCENTAGE,66.48,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,36,3
Cloud Cover,Golden Grapes (H) 1g Rosin,N/A,0,N/A,0,Top Hat Express,1,Concentrate,rosin,1g,36.67,10
Funk Extracts,Funk Extracts | Strawberry Guava Hash Rosin Batter,PERCENTAGE,75.31,PERCENTAGE,0.28,TJs on Powell,0,Concentrate,rosin,1g,36.67,6
Holistic Hash,Holistic Hash | Psyclone Hash Rosin by Tao Gardens,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,36.67,25
Permaculture Solutions,Permaculture Solutions - Animal Mints - Hash Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,36.67,4
Permaculture Solutions,Permaculture Solutions - Hulk Juice - Hash Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,36.67,13
Permaculture Solutions,Permaculture Solutions | GMO Pie | 90µ | Live Rosin | 1g,PERCENTAGE,69.38,PERCENTAGE,0.31,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,36.67,4
Permaculture Solutions,Permaculture Solutions | Italian Ice | 90µ | Live Rosin | 1g,PERCENTAGE,62.82,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,36.67,6
Permaculture Solutions,Permaculture Solutions | The Epidemic | 90µ | Live Rosin | 1g,PERCENTAGE,65.68,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,36.67,1
Permaculture Solutions,Permaculture Solutions | The Vision | 90µ | Live Rosin | 1g,PERCENTAGE,69.82,PERCENTAGE,0.32,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,36.67,6
Happy Cabbage Farms,Upside Down Cake Hash Rosin Cartridge,N/A,0,N/A,0,Archive,0,Concentrate,hash,.5g,37.4,8
Happy Cabbage Farms,Happy Cabbage Cart | Wilson Zero,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,.5g,37.5,3
Willamette Valley Alchemy,Papaya Cake Live Rosin Cart 0.5g,N/A,0,N/A,0,Archive,0,Concentrate,rosin,.5g,38.25,7
Willamette Valley Alchemy,Scoops Live Rosin Cart 0.5g,N/A,0,N/A,0,Archive,0,Concentrate,rosin,.5g,38.25,8
Decibel Farms,Decibel Dabs | Papaya Punch Rosin | 1g,PERCENTAGE,66.09,PERCENTAGE,0,MindRite,0,Concentrate,rosin,1g,39.6,2
,Decibel Banana Punch 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,4
,Decibel Bonkers 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,5
,Decibel Grape Pie Fresh Press Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,4
,Decibel Key Lime Pie 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,2
,Decibel Papaya Punch 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,9
,Decibel Pheno Melody 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,1
,Decibel Sour Diesel 90u Rosin,N/A,0,N/A,0,Truly Pure,1,Concentrate,rosin,1g,40,7
Bonsai,Cherry Vanilla Cookies Sun Kissed Fresh Pressed Live Hash Rosin - Bonsai,PERCENTAGE,60,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,13
Bonsai,GMO Sun Kissed Hash Rosin - Bonsai,PERCENTAGE,60,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,1
Decibel Dabs,Extract - Decibel - Key Lime Pie (90u),PERCENTAGE,64.01,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,40,2
Decibel Farms,Banana Punch Live Rosin | 1g,PERCENTAGE,83.96,PERCENTAGE,0,SWED CO,0,Concentrate,rosin,1g,40,5
Decibel Farms,Donkey Butter Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Truly Pure,1,Concentrate,rosin,1g,40,7
Decibel Farms,Key Lime Pie Live Rosin | 1g,PERCENTAGE,65,PERCENTAGE,0,SWED CO,0,Concentrate,rosin,1g,40,6
Decibel Farms,Papaya Punch Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,SWED CO,0,Concentrate,rosin,1g,40,1
Decibel Farms,Rotten Banana Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,SWED CO,0,Concentrate,rosin,1g,40,9
Decibel Farms,Rotten Banana Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Truly Pure,1,Concentrate,rosin,1g,40,1
Funk Extracts,Extract - Funk - GMO (Rosin),PERCENTAGE,71.62,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,40,9
Hash Hamilton,MAC Hash Rosin - Hash Hamilton,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,10
Permaculture Solutions,Italian Ice 90u Hash Rosin - Permaculture Solutions,PERCENTAGE,62.82,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,14
Permaculture Solutions,La Wedding Pop 90u Rosin Batter - Permaculture Solutions,PERCENTAGE,51.73,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,15
Permaculture Solutions,Permaculture Solutions - GMO x Banana Puddintain - Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,40,14
Permaculture Solutions,Platinum Valley Kush - Hash Rosin - Permaculture Solutions,PERCENTAGE,60.3,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,9
Resin Ranchers,Manzana Hash Rosin - Resin Ranchers,PERCENTAGE,60,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,2
Resin Ranchers,RS #40 Hash Rosin - Resin Ranchers,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,4
Resin Ranchers,Resin Ranchers - Runtz - Hash Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,40,3
Resin Ranchers,Runtz Hash Rosin - Resin Ranchers,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,4
Resin Ranchers,Yerbert Hash Rosin - Resin Ranchers,PERCENTAGE,60,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,3
Verdant Leaf,Verdant Leaf | Duct Tape | Live Sho Rosin | 1g,PERCENTAGE,67.6,N/A,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,40,4
Verdant Leaf,Verdant Leaf | GMO | Live Sho Rosin | 1g,PERCENTAGE,69,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,40,6
Verdant Leaf,Verdant Leaf | GMO | Rosin | 1g,PERCENTAGE,70.43,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,40,8
Verdant Leaf,Verdant Leaf | Papaya Cake | Live Rosin | 1g,PERCENTAGE,65.59,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,40,2
Verdant Leaf,Verdant Leaf | Papaya Cake | Live Sho Rosin | 1g,PERCENTAGE,66.84,N/A,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,40,6
